전표번호,회계일자,계정과목,적요,차변금액,입력자,입력일시
JV02355,2025-04-12,매출,매출 04월 정산분,912000.0,김대리,2025-04-15 14:12:00
JV01658,2025-04-12,복리후생비,복리후생비 04월 정산분,476000.0,최사원,2025-04-13 10:19:00
JV01308,2025-04-12,매출원가,매출원가 04월 정산분,467000.0,최사원,2025-04-16 10:12:00
JV00024,2025-04-12,잡비,잡비 04월 정산분,169000.0,박과장,2025-04-15 12:08:00
JV02073,2025-04-12,선급비용,선급비용 04월 정산분,1736000.0,김대리,2025-04-14 08:01:00
JV01220,2025-04-12,복리후생비,복리후생비 04월 정산분,722000.0,김대리,2025-04-16 11:54:00
JV00215,2025-04-13,외주가공비,외주가공비 04월 정산분,405000.0,이차장,2025-06-21 01:00:00
JV00159,2025-04-13,매출,매출 04월 정산분,8172000.0,최사원,2025-04-15 11:23:00
JV00979,2025-04-13,매출원가,매출원가 04월 정산분,241000.0,이차장,2025-04-16 11:54:00
JV01864,2025-04-13,지급수수료,지급수수료 04월 정산분,226000.0,박과장,2025-04-17 13:58:00
JV00818,2025-04-13,매출원가,매출원가 04월 정산분,4544000.0,이차장,2025-04-17 16:10:00
JV00573,2025-04-13,복리후생비,복리후생비 04월 정산분,213000.0,이차장,2025-04-13 16:28:00
JV02560,2025-04-13,매출원가,매출원가 04월 정산분,140000.0,이차장,2025-04-16 08:18:00
JV01526,2025-04-13,미지급비용,미지급비용 04월 정산분,74000.0,최사원,2025-04-17 09:49:00
JV02331,2025-04-13,복리후생비,복리후생비 04월 정산분,1280000.0,김대리,2025-04-15 09:39:00
JV01083,2025-04-13,매출,매출 04월 정산분,195000.0,박과장,2025-04-15 18:44:00
JV02773,2025-04-14,선급비용,선급비용 04월 정산분,204000.0,박과장,2025-04-14 15:09:00
JV02328,2025-04-14,소모품비,소모품비 04월 정산분,514000.0,김대리,2025-04-17 11:35:00
JV01512,2025-04-14,지급수수료,지급수수료 04월 정산분,21000.0,김대리,2025-04-15 14:55:00
JV00726,2025-04-14,소모품비,소모품비 04월 정산분,396000.0,박과장,2025-04-14 15:52:00
JV02343,2025-04-14,미지급비용,미지급비용 04월 정산분,299000.0,최사원,2025-04-17 09:08:00
JV02150,2025-04-14,접대비,접대비 04월 정산분,345000.0,김대리,2025-04-17 12:47:00
JV02456,2025-04-14,소모품비,소모품비 04월 정산분,479000.0,최사원,2025-04-15 11:25:00
JV00887,2025-04-14,잡비,잡비 04월 정산분,45972000.0,이차장,2025-04-16 09:51:00
JV02739,2025-04-14,매출원가,매출원가 04월 정산분,2894000.0,김대리,2025-04-16 08:06:00
JV01112,2025-04-14,복리후생비,복리후생비 04월 정산분,2864000.0,정부장,2025-04-17 15:38:00
JV02313,2025-04-15,매출,매출 04월 정산분,244000.0,박과장,2025-04-16 11:40:00
JV01958,2025-04-15,복리후생비,복리후생비 04월 정산분,1922000.0,최사원,2025-04-17 08:31:00
JV00947,2025-04-15,매출,매출 04월 정산분,1489000.0,김대리,2025-04-15 14:57:00
JV02351,2025-04-15,외주가공비,외주가공비 04월 정산분,585000.0,정부장,2025-04-16 12:45:00
JV01727,2025-04-15,잡비,잡비 04월 정산분,450000.0,김대리,2025-04-16 12:25:00
JV01712,2025-04-15,미지급비용,미지급비용 04월 정산분,577000.0,최사원,2025-04-16 09:31:00
JV02279,2025-04-15,지급수수료,지급수수료 04월 정산분,34000.0,박과장,2025-04-15 13:01:00
JV90001,2025-04-15,복리후생비,복리후생비 04월 정산분,1922000.0,최사원,2025-04-17 08:31:00
JV00011,2025-04-15,미지급비용,미지급비용 04월 정산분,318000.0,김대리,2025-04-19 17:45:00
JV01373,2025-04-16,매출,매출 04월 정산분,95000.0,박과장,2025-04-20 11:32:00
JV01316,2025-04-16,복리후생비,복리후생비 04월 정산분,1896000.0,박과장,2025-04-20 15:07:00
JV01058,2025-04-16,외주가공비,외주가공비 04월 정산분,45000.0,이차장,2025-04-20 15:46:00
JV02044,2025-04-16,미지급비용,미지급비용 04월 정산분,219000.0,박과장,2025-04-18 12:10:00
JV01954,2025-04-16,여비교통비,여비교통비 04월 정산분,348000.0,박과장,2025-04-17 08:09:00
JV02210,2025-04-16,매출원가,매출원가 04월 정산분,15000.0,김대리,2025-04-17 18:18:00
JV02288,2025-04-16,외주가공비,외주가공비 04월 정산분,897000.0,김대리,2025-04-18 12:14:00
JV00693,2025-04-16,지급수수료,지급수수료 04월 정산분,433000.0,박과장,2025-04-20 16:25:00
JV02740,2025-04-16,매출원가,매출원가 04월 정산분,853000.0,김대리,2025-04-19 10:16:00
JV02245,2025-04-17,소모품비,소모품비 04월 정산분,5326000.0,이차장,2025-04-21 10:50:00
JV01282,2025-04-17,외주가공비,외주가공비 04월 정산분,922000.0,김대리,2025-04-19 11:44:00
JV00915,2025-04-17,외주가공비,외주가공비 04월 정산분,425000.0,시스템,2025-04-18 12:21:00
JV02831,2025-04-17,매출,매출 04월 정산분,2181000.0,최사원,2025-04-18 10:52:00
JV02713,2025-04-17,잡비,잡비 04월 정산분,75000.0,김대리,2025-04-19 14:01:00
JV00962,2025-04-17,여비교통비,여비교통비 04월 정산분,87000.0,최사원,2025-04-19 17:18:00
JV02014,2025-04-17,광고선전비,광고선전비 04월 정산분,1182000.0,최사원,2025-04-19 11:55:00
JV02406,2025-04-17,접대비,접대비 04월 정산분,417000.0,박과장,2025-04-19 16:55:00
JV01047,2025-04-17,외주가공비,외주가공비 04월 정산분,38000.0,최사원,2025-04-20 08:43:00
JV00964,2025-04-17,소모품비,소모품비 04월 정산분,2113000.0,정부장,2025-04-19 11:56:00
JV02748,2025-04-17,매출,매출 04월 정산분,627000.0,이차장,2025-04-17 08:04:00
JV01938,2025-04-18,미지급비용,미지급비용 04월 정산분,1784000.0,이차장,2025-06-28 02:00:00
JV02206,2025-04-18,광고선전비,광고선전비 04월 정산분,302000.0,최사원,2025-04-22 12:33:00
JV02261,2025-04-18,매출원가,매출원가 04월 정산분,341000.0,최사원,2025-04-20 10:59:00
JV02988,2025-04-18,복리후생비,복리후생비 04월 정산분,2944000.0,김대리,2025-04-22 14:20:00
JV02939,2025-04-18,광고선전비,광고선전비 04월 정산분,88000.0,최사원,2025-04-18 16:44:00
JV00807,2025-04-18,복리후생비,복리후생비 04월 정산분,1179000.0,최사원,2025-04-18 16:56:00
JV00783,2025-04-18,매출원가,매출원가 04월 정산분,1740000.0,박과장,2025-04-21 12:27:00
JV02568,2025-04-18,복리후생비,복리후생비 04월 정산분,902000.0,김대리,2025-04-19 13:48:00
JV02735,2025-04-18,소모품비,소모품비 04월 정산분,1687000.0,김대리,2025-04-18 18:51:00
JV02334,2025-04-19,여비교통비,여비교통비 04월 정산분,31000.0,박과장,2025-04-21 13:57:00
JV00371,2025-04-19,외주가공비,외주가공비 04월 정산분,112000.0,최사원,2025-04-19 12:23:00
JV02828,2025-04-19,외주가공비,외주가공비 04월 정산분,1492000.0,이차장,2025-04-20 18:17:00
JV00313,2025-04-19,지급수수료,지급수수료 04월 정산분,3094000.0,김대리,2025-04-22 18:21:00
JV01678,2025-04-19,매출원가,매출원가 04월 정산분,452000.0,이차장,2025-04-22 15:38:00
JV00505,2025-04-19,매출,매출 04월 정산분,593000.0,이차장,2025-04-23 13:07:00
JV02205,2025-04-19,광고선전비,광고선전비 04월 정산분,462000.0,이차장,2025-04-23 11:00:00
JV02527,2025-04-19,소모품비,소모품비 04월 정산분,140000.0,김대리,2025-04-20 16:57:00
JV02226,2025-04-19,선급비용,선급비용 04월 정산분,1171000.0,최사원,2025-04-19 12:35:00
JV00010,2025-04-20,여비교통비,여비교통비 04월 정산분,305000.0,이차장,2025-04-20 08:34:00
JV00323,2025-04-20,접대비,접대비 04월 정산분,90000.0,시스템,2025-06-21 01:00:00
JV02211,2025-04-20,매출원가,매출원가 04월 정산분,863000.0,박과장,2025-04-22 11:24:00
JV01555,2025-04-20,광고선전비,광고선전비 04월 정산분,15000.0,이차장,2025-04-24 10:07:00
JV02076,2025-04-20,외주가공비,외주가공비 04월 정산분,28000.0,박과장,2025-04-22 09:27:00
JV00144,2025-04-20,복리후생비,복리후생비 04월 정산분,418000.0,김대리,2025-04-23 17:34:00
JV00427,2025-04-20,지급수수료,지급수수료 04월 정산분,460000.0,이차장,2025-04-20 17:05:00
JV00520,2025-04-20,외주가공비,외주가공비 04월 정산분,577000.0,이차장,2025-04-20 08:30:00
JV02885,2025-04-21,미지급비용,미지급비용 04월 정산분,591000.0,이차장,2025-04-21 10:18:00
JV01214,2025-04-21,접대비,접대비 04월 정산분,245000.0,정부장,2025-04-22 12:54:00
JV02352,2025-04-21,복리후생비,복리후생비 04월 정산분,102000.0,최사원,2025-04-25 12:53:00
JV02345,2025-04-21,복리후생비,복리후생비 04월 정산분,8808000.0,김대리,2025-04-22 15:27:00
JV01660,2025-04-21,여비교통비,여비교통비 04월 정산분,418000.0,이차장,2025-04-25 10:10:00
JV01619,2025-04-21,접대비,접대비 04월 정산분,1390000.0,최사원,2025-04-22 13:08:00
JV02772,2025-04-21,매출원가,매출원가 04월 정산분,1315000.0,김대리,2025-04-21 10:04:00
JV02469,2025-04-21,매출,매출 04월 정산분,3270000.0,정부장,2025-04-23 08:28:00
JV01017,2025-04-21,매출원가,매출원가 04월 정산분,832000.0,이차장,2025-04-23 11:52:00
JV00431,2025-04-21,외주가공비,외주가공비 04월 정산분,3509000.0,최사원,2025-04-22 15:51:00
JV00022,2025-04-21,여비교통비,여비교통비 04월 정산분,510000.0,이차장,2025-06-28 03:00:00
JV00790,2025-04-21,복리후생비,복리후생비 04월 정산분,770000.0,이차장,2025-04-25 15:12:00
JV00387,2025-04-22,매출,매출 04월 정산분,1405000.0,이차장,2025-04-22 16:20:00
JV01677,2025-04-22,선급비용,선급비용 04월 정산분,687000.0,이차장,2025-04-23 13:32:00
JV02182,2025-04-22,매출원가,매출원가 04월 정산분,294000.0,김대리,2025-04-26 09:33:00
JV02173,2025-04-22,소모품비,소모품비 04월 정산분,2592000.0,박과장,2025-04-22 10:37:00
JV01318,2025-04-22,복리후생비,복리후생비 04월 정산분,132000.0,이차장,2025-04-26 12:42:00
JV00501,2025-04-22,매출원가,매출원가 04월 정산분,97000.0,박과장,2025-04-25 15:07:00
JV00538,2025-04-22,매출원가,매출원가 04월 정산분,83000.0,최사원,2025-04-24 10:30:00
JV01060,2025-04-22,복리후생비,복리후생비 04월 정산분,391000.0,박과장,2025-04-25 11:27:00
JV02884,2025-04-22,지급수수료,지급수수료 04월 정산분,245000.0,박과장,2025-04-24 12:06:00
JV00338,2025-04-22,접대비,접대비 04월 정산분,5482000.0,박과장,2025-04-23 14:11:00
JV00437,2025-04-22,복리후생비,복리후생비 04월 정산분,311000.0,박과장,2025-04-26 10:02:00
JV01817,2025-04-22,접대비,접대비 04월 정산분,266000.0,이차장,2025-04-24 12:41:00
JV02056,2025-04-23,소모품비,소모품비 04월 정산분,1214000.0,이차장,2025-04-25 17:25:00
JV02882,2025-04-23,광고선전비,광고선전비 04월 정산분,467000.0,최사원,2025-04-26 17:50:00
JV00229,2025-04-23,매출,매출 04월 정산분,148000.0,이차장,2025-04-26 16:34:00
JV00551,2025-04-23,외주가공비,외주가공비 04월 정산분,137000.0,박과장,2025-04-27 11:36:00
JV02561,2025-04-24,소모품비,소모품비 04월 정산분,160000.0,박과장,2025-04-25 17:51:00
JV00987,2025-04-24,소모품비,소모품비 04월 정산분,8053000.0,김대리,2025-04-25 16:21:00
JV00396,2025-04-24,복리후생비,복리후생비 04월 정산분,576000.0,박과장,2025-04-24 14:57:00
JV01492,2025-04-24,매출,매출 04월 정산분,14143000.0,김대리,2025-04-27 11:58:00
JV01703,2025-04-24,미지급비용,미지급비용 04월 정산분,462000.0,최사원,2025-04-24 15:38:00
JV00261,2025-04-24,미지급비용,미지급비용 04월 정산분,1807000.0,박과장,2025-04-28 13:35:00
JV00307,2025-04-24,매출,매출 04월 정산분,3707000.0,정부장,2025-04-24 15:11:00
JV00601,2025-04-24,접대비,접대비 04월 정산분,779000.0,이차장,2025-04-25 13:56:00
JV00684,2025-04-24,광고선전비,광고선전비 04월 정산분,1328000.0,정부장,2025-04-27 17:24:00
JV01667,2025-04-24,접대비,접대비 04월 정산분,2482000.0,김대리,2025-04-24 13:13:00
JV01913,2025-04-24,접대비,접대비 04월 정산분,226000.0,최사원,2025-04-25 18:55:00
JV02063,2025-04-24,미지급비용,미지급비용 04월 정산분,59000.0,박과장,2025-04-25 18:11:00
JV01546,2025-04-24,외주가공비,외주가공비 04월 정산분,80000.0,이차장,2025-04-24 11:01:00
JV01844,2025-04-24,매출,매출 04월 정산분,46000.0,박과장,2025-04-26 13:57:00
JV01274,2025-04-25,복리후생비,복리후생비 04월 정산분,705000.0,이차장,2025-04-25 16:57:00
JV00996,2025-04-25,매출원가,매출원가 04월 정산분,191000.0,김대리,2025-04-29 16:34:00
JV01253,2025-04-25,소모품비,소모품비 04월 정산분,3899000.0,정부장,2025-04-29 14:41:00
JV00682,2025-04-25,선급비용,선급비용 04월 정산분,1648000.0,정부장,2025-04-28 09:41:00
JV02707,2025-04-25,매출,매출 04월 정산분,171000.0,박과장,2025-04-27 17:11:00
JV00465,2025-04-25,외주가공비,외주가공비 04월 정산분,9900000.0,이차장,2025-04-28 10:36:00
JV00432,2025-04-25,접대비,접대비 04월 정산분,795000.0,이차장,2025-04-27 16:14:00
JV01429,2025-04-26,매출원가,매출원가 04월 정산분,5694000.0,박과장,2025-04-26 18:19:00
JV02982,2025-04-26,지급수수료,지급수수료 04월 정산분,17353000.0,박과장,2025-04-26 08:47:00
JV01168,2025-04-26,미지급비용,미지급비용 04월 정산분,71000.0,박과장,2025-04-28 17:06:00
JV02154,2025-04-26,매출,매출 04월 정산분,186000.0,김대리,2025-04-26 12:56:00
JV00985,2025-04-26,여비교통비,여비교통비 04월 정산분,2422000.0,김대리,2025-04-28 10:24:00
JV02675,2025-04-26,지급수수료,지급수수료 04월 정산분,350000.0,박과장,2025-06-14 02:00:00
JV01020,2025-04-26,선급비용,선급비용 04월 정산분,3027000.0,김대리,2025-04-27 10:00:00
JV00764,2025-04-26,여비교통비,여비교통비 04월 정산분,38000.0,정부장,2025-04-26 11:12:00
JV01862,2025-04-26,지급수수료,지급수수료 04월 정산분,137000.0,박과장,2025-04-27 10:27:00
JV01382,2025-04-27,미지급비용,미지급비용 04월 정산분,1104000.0,이차장,2025-04-29 12:36:00
JV02092,2025-04-27,복리후생비,복리후생비 04월 정산분,879000.0,김대리,2025-04-29 16:45:00
JV02394,2025-04-27,복리후생비,복리후생비 04월 정산분,1281000.0,정부장,2025-05-01 17:08:00
JV01768,2025-04-27,소모품비,소모품비 04월 정산분,907000.0,이차장,2025-04-28 12:15:00
JV02722,2025-04-27,외주가공비,외주가공비 04월 정산분,711000.0,최사원,2025-05-01 18:52:00
JV01893,2025-04-27,매출원가,매출원가 04월 정산분,1217000.0,김대리,2025-04-27 12:25:00
JV01835,2025-04-27,여비교통비,여비교통비 04월 정산분,368000.0,박과장,2025-04-30 15:59:00
JV00424,2025-04-27,선급비용,선급비용 04월 정산분,5474000.0,정부장,2025-05-01 17:09:00
JV01666,2025-04-28,매출원가,매출원가 04월 정산분,537000.0,박과장,2025-04-28 17:15:00
JV00190,2025-04-28,지급수수료,지급수수료 04월 정산분,26000.0,김대리,2025-04-29 14:21:00
JV02107,2025-04-28,매출원가,매출원가 04월 정산분,1381000.0,김대리,2025-04-28 14:04:00
JV02622,2025-04-28,외주가공비,외주가공비 04월 정산분,1174000.0,김대리,2025-04-29 12:07:00
JV02083,2025-04-28,매출,매출 04월 정산분,610000.0,박과장,2025-06-07 03:00:00
JV02666,2025-04-28,접대비,접대비 04월 정산분,459000.0,김대리,2025-06-28 01:00:00
JV00609,2025-04-28,복리후생비,복리후생비 04월 정산분,1624000.0,시스템,2025-05-02 18:41:00
JV01076,2025-04-28,지급수수료,지급수수료 04월 정산분,1306000.0,최사원,2025-05-01 11:15:00
JV00971,2025-04-28,매출원가,매출원가 04월 정산분,3348000.0,정부장,2025-04-30 08:17:00
JV00883,2025-04-29,잡비,잡비 04월 정산분,404000.0,김대리,2025-04-30 13:34:00
JV02264,2025-04-29,선급비용,선급비용 04월 정산분,730000.0,정부장,2025-05-01 08:55:00
JV01299,2025-04-29,지급수수료,지급수수료 04월 정산분,11113000.0,박과장,2025-05-03 18:28:00
JV01400,2025-04-29,소모품비,소모품비 04월 정산분,1834000.0,박과장,2025-04-30 14:10:00
JV02464,2025-04-30,광고선전비,광고선전비 04월 정산분,45000.0,이차장,2025-04-30 17:21:00
JV02669,2025-04-30,복리후생비,복리후생비 04월 정산분,1110000.0,시스템,2025-05-02 11:46:00
JV01730,2025-04-30,여비교통비,여비교통비 04월 정산분,3927000.0,박과장,2025-04-30 18:53:00
JV02602,2025-04-30,선급비용,선급비용 04월 정산분,150000.0,이차장,2025-05-02 14:46:00
JV02836,2025-04-30,외주가공비,외주가공비 04월 정산분,399000.0,최사원,2025-05-04 18:22:00
JV00791,2025-04-30,외주가공비,외주가공비 04월 정산분,479000.0,김대리,2025-05-02 16:41:00
JV01169,2025-05-01,미지급비용,미지급비용 05월 정산분,33054000.0,이차장,2025-05-01 18:28:00
JV02190,2025-05-01,여비교통비,여비교통비 05월 정산분,712000.0,최사원,2025-05-02 17:07:00
JV02681,2025-05-01,매출원가,매출원가 05월 정산분,710000.0,정부장,2025-05-03 15:10:00
JV01151,2025-05-01,미지급비용,미지급비용 05월 정산분,695000.0,김대리,2025-05-04 14:01:00
JV00510,2025-05-01,접대비,접대비 05월 정산분,191000.0,박과장,2025-05-05 14:30:00
JV01925,2025-05-01,매출원가,매출원가 05월 정산분,32000.0,박과장,2025-05-03 15:36:00
JV01530,2025-05-01,지급수수료,지급수수료 05월 정산분,53000.0,이차장,2025-05-03 14:12:00
JV00802,2025-05-01,여비교통비,여비교통비 05월 정산분,130000.0,김대리,2025-05-05 17:04:00
JV01742,2025-05-02,소모품비,소모품비 05월 정산분,1664000.0,박과장,2025-05-05 18:30:00
JV00563,2025-05-02,여비교통비,여비교통비 05월 정산분,118000.0,박과장,2025-05-03 12:34:00
JV01962,2025-05-02,선급비용,선급비용 05월 정산분,7605000.0,최사원,2025-05-05 18:30:00
JV02619,2025-05-02,접대비,접대비 05월 정산분,647000.0,최사원,2025-05-05 10:50:00
JV01580,2025-05-02,미지급비용,미지급비용 05월 정산분,1415000.0,최사원,2025-05-02 09:06:00
JV00314,2025-05-02,지급수수료,지급수수료 05월 정산분,289000.0,김대리,2025-05-02 18:32:00
JV01788,2025-05-02,외주가공비,외주가공비 05월 정산분,335000.0,박과장,2025-05-04 12:48:00
JV01460,2025-05-02,여비교통비,여비교통비 05월 정산분,2694000.0,박과장,2025-05-05 13:28:00
JV02888,2025-05-03,선급비용,선급비용 05월 정산분,2723000.0,박과장,2025-05-06 16:21:00
JV01786,2025-05-03,선급비용,선급비용 05월 정산분,6382000.0,이차장,2025-05-03 17:07:00
JV00836,2025-05-03,매출원가,매출원가 05월 정산분,377000.0,김대리,2025-05-06 18:13:00
JV00983,2025-05-03,외주가공비,외주가공비 05월 정산분,53000.0,김대리,2025-05-04 08:14:00
JV01190,2025-05-03,잡비,잡비 05월 정산분,2019000.0,정부장,2025-05-04 14:52:00
JV01206,2025-05-03,잡비,잡비 05월 정산분,74195000.0,박과장,2025-05-06 16:11:00
JV01728,2025-05-03,복리후생비,복리후생비 05월 정산분,234000.0,박과장,2025-05-06 08:48:00
JV00645,2025-05-04,매출,매출 05월 정산분,470000.0,김대리,2025-05-06 15:51:00
JV02834,2025-05-04,선급비용,선급비용 05월 정산분,1955000.0,박과장,2025-05-07 18:36:00
JV00765,2025-05-04,복리후생비,복리후생비 05월 정산분,520000.0,시스템,2025-05-04 11:39:00
JV00928,2025-05-04,여비교통비,여비교통비 05월 정산분,160000.0,김대리,2025-05-04 14:31:00
JV00422,2025-05-04,지급수수료,지급수수료 05월 정산분,984000.0,박과장,2025-05-08 08:43:00
JV00789,2025-05-04,매출,매출 05월 정산분,209000.0,최사원,2025-05-07 18:45:00
JV02932,2025-05-04,소모품비,소모품비 05월 정산분,1379000.0,김대리,2025-05-07 14:19:00
JV00743,2025-05-04,복리후생비,복리후생비 05월 정산분,38000.0,이차장,2025-05-04 17:10:00
JV02727,2025-05-04,소모품비,소모품비 05월 정산분,61000.0,김대리,2025-05-06 17:27:00
JV02310,2025-05-04,외주가공비,외주가공비 05월 정산분,2808000.0,정부장,2025-05-05 16:20:00
JV00619,2025-05-05,외주가공비,외주가공비 05월 정산분,281000.0,최사원,2025-05-06 12:37:00
JV00615,2025-05-05,외주가공비,외주가공비 05월 정산분,422000.0,최사원,2025-05-08 13:07:00
JV02421,2025-05-05,여비교통비,여비교통비 05월 정산분,10371000.0,정부장,2025-05-08 15:50:00
JV00266,2025-05-05,매출원가,매출원가 05월 정산분,463000.0,최사원,2025-05-08 09:56:00
JV02335,2025-05-05,여비교통비,여비교통비 05월 정산분,6567000.0,김대리,2025-05-09 16:58:00
JV00039,2025-05-05,매출,매출 05월 정산분,38197000.0,김대리,2025-05-06 14:54:00
JV00023,2025-05-05,미지급비용,미지급비용 05월 정산분,183000.0,최사원,2025-05-08 16:51:00
JV00212,2025-05-06,접대비,접대비 05월 정산분,49000.0,정부장,2025-05-09 10:56:00
JV01092,2025-05-06,접대비,접대비 05월 정산분,340000.0,김대리,2025-05-07 13:34:00
JV00961,2025-05-06,광고선전비,광고선전비 05월 정산분,610000.0,최사원,2025-05-08 18:46:00
JV02017,2025-05-06,선급비용,선급비용 05월 정산분,272000.0,박과장,2025-05-10 09:07:00
JV02574,2025-05-06,소모품비,소모품비 05월 정산분,1233000.0,박과장,2025-05-07 13:13:00
JV00515,2025-05-06,미지급비용,미지급비용 05월 정산분,1925000.0,정부장,2025-05-08 09:51:00
JV01567,2025-05-06,지급수수료,지급수수료 05월 정산분,1775000.0,이차장,2025-05-06 11:28:00
JV01057,2025-05-07,외주가공비,외주가공비 05월 정산분,9990000.0,이차장,2025-05-08 12:36:00
JV02524,2025-05-07,매출,매출 05월 정산분,5389000.0,김대리,2025-05-09 18:36:00
JV00260,2025-05-07,지급수수료,지급수수료 05월 정산분,19000.0,김대리,2025-05-10 16:43:00
JV00471,2025-05-07,매출원가,매출원가 05월 정산분,1459000.0,최사원,2025-05-09 14:41:00
JV02682,2025-05-07,여비교통비,여비교통비 05월 정산분,78000.0,이차장,2025-05-11 16:58:00
JV01690,2025-05-08,소모품비,소모품비 05월 정산분,2415000.0,최사원,2025-05-11 17:08:00
JV02910,2025-05-08,잡비,잡비 05월 정산분,3590000.0,박과장,2025-05-10 12:05:00
JV02997,2025-05-08,지급수수료,지급수수료 05월 정산분,1853000.0,최사원,2025-05-11 08:11:00
JV90011,2025-05-08,복리후생비,복리후생비 05월 정산분,2247000.0,김대리,2025-05-08 08:27:00
JV01259,2025-05-08,지급수수료,지급수수료 05월 정산분,7481000.0,최사원,2025-05-10 13:02:00
JV01353,2025-05-08,복리후생비,복리후생비 05월 정산분,2247000.0,김대리,2025-05-08 08:27:00
JV01976,2025-05-08,복리후생비,복리후생비 05월 정산분,5676000.0,최사원,2025-05-10 17:31:00
JV00970,2025-05-09,외주가공비,외주가공비 05월 정산분,8006000.0,김대리,2025-05-12 10:31:00
JV02849,2025-05-09,매출원가,매출원가 05월 정산분,1852000.0,김대리,2025-05-09 18:54:00
JV02876,2025-05-09,복리후생비,복리후생비 05월 정산분,75000.0,김대리,2025-05-13 16:45:00
JV02704,2025-05-10,복리후생비,복리후생비 05월 정산분,662000.0,이차장,2025-05-12 08:44:00
JV01845,2025-05-10,외주가공비,외주가공비 05월 정산분,642000.0,박과장,2025-05-14 12:18:00
JV02725,2025-05-10,소모품비,소모품비 05월 정산분,162000.0,정부장,2025-05-10 18:56:00
JV01482,2025-05-10,외주가공비,외주가공비 05월 정산분,216000.0,김대리,2025-05-14 13:44:00
JV00218,2025-05-10,접대비,접대비 05월 정산분,27000.0,박과장,2025-05-11 18:36:00
JV02217,2025-05-11,지급수수료,지급수수료 05월 정산분,105000.0,최사원,2025-05-15 08:54:00
JV01522,2025-05-11,지급수수료,지급수수료 05월 정산분,104000.0,김대리,2025-05-13 17:43:00
JV01157,2025-05-11,접대비,접대비 05월 정산분,1011000.0,최사원,2025-05-12 15:58:00
JV02438,2025-05-11,소모품비,소모품비 05월 정산분,2877000.0,최사원,2025-05-15 18:57:00
JV01229,2025-05-11,매출원가,매출원가 05월 정산분,115000.0,정부장,2025-05-14 13:38:00
JV00131,2025-05-11,광고선전비,광고선전비 05월 정산분,52000.0,이차장,2025-05-15 10:07:00
JV01333,2025-05-11,소모품비,소모품비 05월 정산분,202000.0,최사원,2025-05-14 17:14:00
JV01887,2025-05-12,복리후생비,복리후생비 05월 정산분,109000.0,김대리,2025-05-16 12:44:00
JV01109,2025-05-12,광고선전비,광고선전비 05월 정산분,2962000.0,김대리,2025-05-16 14:16:00
JV01847,2025-05-12,접대비,접대비 05월 정산분,582000.0,이차장,2025-05-14 17:18:00
JV00102,2025-05-12,복리후생비,복리후생비 05월 정산분,12979000.0,박과장,2025-05-16 13:08:00
JV02580,2025-05-12,지급수수료,지급수수료 05월 정산분,983000.0,김대리,2025-05-16 10:58:00
JV00256,2025-05-13,매출,매출 05월 정산분,565000.0,정부장,2025-05-14 11:25:00
JV02644,2025-05-13,미지급비용,미지급비용 05월 정산분,6967000.0,최사원,2025-05-14 13:06:00
JV02716,2025-05-13,여비교통비,여비교통비 05월 정산분,1846000.0,박과장,2025-05-16 18:28:00
JV02462,2025-05-13,접대비,접대비 05월 정산분,91000.0,이차장,2025-05-16 13:55:00
JV02276,2025-05-13,매출,매출 05월 정산분,64000.0,박과장,2025-05-13 11:23:00
JV00461,2025-05-13,접대비,접대비 05월 정산분,4338000.0,최사원,2025-05-16 11:24:00
JV00635,2025-05-13,매출,매출 05월 정산분,423000.0,박과장,2025-05-17 16:47:00
JV02730,2025-05-13,접대비,접대비 05월 정산분,1243000.0,이차장,2025-05-14 12:44:00
JV01039,2025-05-13,매출원가,매출원가 05월 정산분,136000.0,김대리,2025-05-13 14:39:00
JV02791,2025-05-14,지급수수료,지급수수료 05월 정산분,995000.0,김대리,2025-05-15 15:27:00
JV02477,2025-05-14,매출,매출 05월 정산분,683000.0,정부장,2025-05-18 16:25:00
JV00907,2025-05-14,여비교통비,여비교통비 05월 정산분,855000.0,김대리,2025-05-17 13:59:00
JV02659,2025-05-14,매출원가,매출원가 05월 정산분,1258000.0,최사원,2025-05-17 10:17:00
JV02556,2025-05-14,미지급비용,미지급비용 05월 정산분,2518000.0,김대리,2025-05-14 14:54:00
JV02743,2025-05-14,매출,매출 05월 정산분,55000.0,최사원,2025-05-17 09:40:00
JV02737,2025-05-15,잡비,잡비 05월 정산분,389000.0,박과장,2025-05-19 12:07:00
JV00074,2025-05-15,매출,매출 05월 정산분,347000.0,박과장,2025-05-17 17:48:00
JV02842,2025-05-15,외주가공비,외주가공비 05월 정산분,348000.0,김대리,2025-05-18 15:14:00
JV02441,2025-05-15,접대비,접대비 05월 정산분,236000.0,이차장,2025-05-15 15:52:00
JV01277,2025-05-15,접대비,접대비 05월 정산분,114000.0,김대리,2025-05-16 09:33:00
JV01366,2025-05-15,매출원가,매출원가 05월 정산분,478000.0,김대리,2025-05-18 12:13:00
JV02043,2025-05-15,접대비,접대비 05월 정산분,1602000.0,박과장,2025-05-17 15:21:00
JV02180,2025-05-15,여비교통비,여비교통비 05월 정산분,431000.0,정부장,2025-05-16 17:33:00
JV02196,2025-05-16,매출원가,매출원가 05월 정산분,433000.0,최사원,2025-05-20 14:37:00
JV00564,2025-05-16,잡비,잡비 05월 정산분,86000.0,이차장,2025-05-20 13:25:00
